task,regime,split,seed,topology_need,collision_sensitivity,support_sensitivity,regime_impact,perception_noise,support_risk,passage_risk,stress,perception_shift,delay,reach_shift,support_cascade,false_alarm_pressure,latency_pressure,v5_change_probability,v5_base_risk
shelf_retrieval,passage_closure_opening,nominal,0,0.86000,0.62000,0.24000,0.76000,0.06000,0.20000,0.88000,0.10000,0.06000,0.00000,0.00000,0.02000,0.05000,0.04000,0.44831,0.01000
shelf_retrieval,passage_closure_opening,nominal,1,0.86000,0.62000,0.24000,0.76000,0.06000,0.20000,0.88000,0.10000,0.06000,0.00000,0.00000,0.02000,0.05000,0.04000,0.44831,0.01000
shelf_retrieval,passage_closure_opening,nominal,2,0.86000,0.62000,0.24000,0.76000,0.06000,0.20000,0.88000,0.10000,0.06000,0.00000,0.00000,0.02000,0.05000,0.04000,0.44831,0.01000
shelf_retrieval,passage_closure_opening,nominal,3,0.86000,0.62000,0.24000,0.76000,0.06000,0.20000,0.88000,0.10000,0.06000,0.00000,0.00000,0.02000,0.05000,0.04000,0.44831,0.01000
shelf_retrieval,passage_closure_opening,nominal,4,0.86000,0.62000,0.24000,0.76000,0.06000,0.20000,0.88000,0.10000,0.06000,0.00000,0.00000,0.02000,0.05000,0.04000,0.44831,0.01000
shelf_retrieval,passage_closure_opening,nominal,5,0.86000,0.62000,0.24000,0.76000,0.06000,0.20000,0.88000,0.10000,0.06000,0.00000,0.00000,0.02000,0.05000,0.04000,0.44831,0.01000
shelf_retrieval,passage_closure_opening,nominal,6,0.86000,0.62000,0.24000,0.76000,0.06000,0.20000,0.88000,0.10000,0.06000,0.00000,0.00000,0.02000,0.05000,0.04000,0.44831,0.01000
shelf_retrieval,passage_closure_opening,nominal,7,0.86000,0.62000,0.24000,0.76000,0.06000,0.20000,0.88000,0.10000,0.06000,0.00000,0.00000,0.02000,0.05000,0.04000,0.44831,0.01000
shelf_retrieval,passage_closure_opening,nominal,8,0.86000,0.62000,0.24000,0.76000,0.06000,0.20000,0.88000,0.10000,0.06000,0.00000,0.00000,0.02000,0.05000,0.04000,0.44831,0.01000
shelf_retrieval,passage_closure_opening,nominal,9,0.86000,0.62000,0.24000,0.76000,0.06000,0.20000,0.88000,0.10000,0.06000,0.00000,0.00000,0.02000,0.05000,0.04000,0.44831,0.01000
shelf_retrieval,support_removal,nominal,0,0.86000,0.62000,0.24000,0.83000,0.05000,0.88000,0.20000,0.10000,0.06000,0.00000,0.00000,0.02000,0.05000,0.04000,0.47085,0.01000
shelf_retrieval,support_removal,nominal,1,0.86000,0.62000,0.24000,0.83000,0.05000,0.88000,0.20000,0.10000,0.06000,0.00000,0.00000,0.02000,0.05000,0.04000,0.47085,0.01000
shelf_retrieval,support_removal,nominal,2,0.86000,0.62000,0.24000,0.83000,0.05000,0.88000,0.20000,0.10000,0.06000,0.00000,0.00000,0.02000,0.05000,0.04000,0.47085,0.01000
shelf_retrieval,support_removal,nominal,3,0.86000,0.62000,0.24000,0.83000,0.05000,0.88000,0.20000,0.10000,0.06000,0.00000,0.00000,0.02000,0.05000,0.04000,0.47085,0.01000
shelf_retrieval,support_removal,nominal,4,0.86000,0.62000,0.24000,0.83000,0.05000,0.88000,0.20000,0.10000,0.06000,0.00000,0.00000,0.02000,0.05000,0.04000,0.47085,0.01000
shelf_retrieval,support_removal,nominal,5,0.86000,0.62000,0.24000,0.83000,0.05000,0.88000,0.20000,0.10000,0.06000,0.00000,0.00000,0.02000,0.05000,0.04000,0.47085,0.01000
shelf_retrieval,support_removal,nominal,6,0.86000,0.62000,0.24000,0.83000,0.05000,0.88000,0.20000,0.10000,0.06000,0.00000,0.00000,0.02000,0.05000,0.04000,0.47085,0.01000
shelf_retrieval,support_removal,nominal,7,0.86000,0.62000,0.24000,0.83000,0.05000,0.88000,0.20000,0.10000,0.06000,0.00000,0.00000,0.02000,0.05000,0.04000,0.47085,0.01000
shelf_retrieval,support_removal,nominal,8,0.86000,0.62000,0.24000,0.83000,0.05000,0.88000,0.20000,0.10000,0.06000,0.00000,0.00000,0.02000,0.05000,0.04000,0.47085,0.01000
shelf_retrieval,support_removal,nominal,9,0.86000,0.62000,0.24000,0.83000,0.05000,0.88000,0.20000,0.10000,0.06000,0.00000,0.00000,0.02000,0.05000,0.04000,0.47085,0.01000
shelf_retrieval,occlusion_reveal_hide,nominal,0,0.86000,0.62000,0.24000,0.70000,0.17000,0.24000,0.30000,0.10000,0.06000,0.00000,0.00000,0.02000,0.05000,0.04000,0.42899,0.01000
shelf_retrieval,occlusion_reveal_hide,nominal,1,0.86000,0.62000,0.24000,0.70000,0.17000,0.24000,0.30000,0.10000,0.06000,0.00000,0.00000,0.02000,0.05000,0.04000,0.42899,0.01000
shelf_retrieval,occlusion_reveal_hide,nominal,2,0.86000,0.62000,0.24000,0.70000,0.17000,0.24000,0.30000,0.10000,0.06000,0.00000,0.00000,0.02000,0.05000,0.04000,0.42899,0.01000
